example_id                                                    | status  | run_time        |
./spec/pim/models/iso_spec.rb[1:1:1]                          | passed  | 0.00404 seconds |
./spec/pim/models/iso_spec.rb[1:1:2]                          | passed  | 0.00404 seconds |
./spec/pim/models/iso_spec.rb[1:1:3]                          | passed  | 0.00389 seconds |
./spec/pim/models/iso_spec.rb[1:1:4]                          | passed  | 0.00406 seconds |
./spec/pim/models/iso_spec.rb[1:2:1]                          | passed  | 0.00029 seconds |
./spec/pim/models/iso_spec.rb[1:3:1]                          | passed  | 0.00747 seconds |
./spec/pim/models/iso_spec.rb[1:3:2]                          | passed  | 0.0066 seconds  |
./spec/pim/models/iso_spec.rb[1:3:3]                          | passed  | 0.00666 seconds |
./spec/pim/models/iso_spec.rb[1:4:1]                          | passed  | 0.0043 seconds  |
./spec/pim/models/iso_spec.rb[1:4:2]                          | passed  | 0.00468 seconds |
./spec/pim/models/iso_spec.rb[1:5:1]                          | passed  | 0.00501 seconds |
./spec/pim/models/iso_spec.rb[1:5:2]                          | passed  | 0.01217 seconds |
./spec/pim/models/iso_spec.rb[1:5:3]                          | passed  | 0.00617 seconds |
./spec/pim/models/iso_spec.rb[1:6:1]                          | passed  | 0.00472 seconds |
./spec/pim/models/profile_shared_spec.rb[1:1]                 | passed  | 0.00066 seconds |
./spec/pim/models/profile_shared_spec.rb[1:2]                 | passed  | 0.00082 seconds |
./spec/pim/models/profile_shared_spec.rb[1:3:1]               | passed  | 0.00091 seconds |
./spec/pim/models/profile_shared_spec.rb[1:3:2]               | passed  | 0.00089 seconds |
./spec/pim/models/profile_shared_spec.rb[1:4:1]               | passed  | 0.00065 seconds |
./spec/pim/models/profile_shared_spec.rb[1:5:1]               | passed  | 0.0009 seconds  |
./spec/pim/models/profile_spec.rb[1:1:1]                      | passed  | 0.00675 seconds |
./spec/pim/models/profile_spec.rb[1:1:2]                      | passed  | 0.00418 seconds |
./spec/pim/models/profile_spec.rb[1:1:3]                      | passed  | 0.00503 seconds |
./spec/pim/models/profile_spec.rb[1:1:4]                      | passed  | 0.00402 seconds |
./spec/pim/models/profile_spec.rb[1:1:5]                      | passed  | 0.00408 seconds |
./spec/pim/models/profile_spec.rb[1:1:6]                      | passed  | 0.00404 seconds |
./spec/pim/models/profile_spec.rb[1:1:7]                      | passed  | 0.00407 seconds |
./spec/pim/models/profile_spec.rb[1:1:8]                      | passed  | 0.00508 seconds |
./spec/pim/models/profile_spec.rb[1:2:1]                      | passed  | 0.00024 seconds |
./spec/pim/models/profile_spec.rb[1:3:1]                      | passed  | 0.00112 seconds |
./spec/pim/models/profile_spec.rb[1:4:1:1]                    | passed  | 0.00465 seconds |
./spec/pim/models/profile_spec.rb[1:4:1:2]                    | passed  | 0.00475 seconds |
./spec/pim/models/profile_spec.rb[1:4:1:3]                    | passed  | 0.00458 seconds |
./spec/pim/models/profile_spec.rb[1:4:1:4]                    | passed  | 0.00432 seconds |
./spec/pim/models/profile_spec.rb[1:4:2:1]                    | passed  | 0.00449 seconds |
./spec/pim/models/profile_spec.rb[1:4:2:2]                    | passed  | 0.0046 seconds  |
./spec/pim/models/profile_spec.rb[1:4:2:3]                    | passed  | 0.00447 seconds |
./spec/pim/models/profile_spec.rb[1:4:3:1]                    | passed  | 0.00486 seconds |
./spec/pim/models/profile_spec.rb[1:4:3:2]                    | passed  | 0.00458 seconds |
./spec/pim/models/profile_spec.rb[1:5:1:1]                    | passed  | 0.00816 seconds |
./spec/pim/models/profile_spec.rb[1:5:1:2]                    | passed  | 0.00413 seconds |
./spec/pim/models/profile_spec.rb[1:5:2:1]                    | passed  | 0.0041 seconds  |
./spec/pim/models/profile_spec.rb[1:5:2:2]                    | passed  | 0.00419 seconds |
./spec/pim/models/profile_spec.rb[1:5:2:3]                    | passed  | 0.00435 seconds |
./spec/pim/models/profile_spec.rb[1:5:3:1]                    | passed  | 0.00415 seconds |
./spec/pim/models/profile_spec.rb[1:5:3:2]                    | passed  | 0.00418 seconds |
./spec/pim/models/profile_spec.rb[1:5:3:3]                    | passed  | 0.00418 seconds |
./spec/pim/models/profile_spec.rb[1:5:3:4]                    | passed  | 0.00452 seconds |
./spec/pim/models/profile_spec.rb[1:5:3:5]                    | passed  | 0.00415 seconds |
./spec/pim/models/profile_spec.rb[1:5:4:1]                    | passed  | 0.00414 seconds |
./spec/pim/models/profile_spec.rb[1:5:5:1]                    | passed  | 0.00531 seconds |
./spec/pim/models/profile_spec.rb[1:5:6:1]                    | passed  | 0.00453 seconds |
./spec/pim/models/target_spec.rb[1:1:1]                       | passed  | 0.00419 seconds |
./spec/pim/models/target_spec.rb[1:1:2]                       | passed  | 0.00427 seconds |
./spec/pim/models/target_spec.rb[1:1:3]                       | passed  | 0.00392 seconds |
./spec/pim/models/target_spec.rb[1:1:4]                       | passed  | 0.00397 seconds |
./spec/pim/models/target_spec.rb[1:2:1:1]                     | passed  | 0.0041 seconds  |
./spec/pim/models/target_spec.rb[1:2:1:2]                     | passed  | 0.00408 seconds |
./spec/pim/models/target_spec.rb[1:2:1:3]                     | passed  | 0.00418 seconds |
./spec/pim/models/target_spec.rb[1:2:1:4]                     | passed  | 0.00416 seconds |
./spec/pim/models/target_spec.rb[1:2:2:1]                     | passed  | 0.00731 seconds |
./spec/pim/models/target_spec.rb[1:2:2:2]                     | passed  | 0.00414 seconds |
./spec/pim/models/target_spec.rb[1:2:3:1]                     | passed  | 0.0045 seconds  |
./spec/pim/models/target_spec.rb[1:2:3:2]                     | passed  | 0.00432 seconds |
./spec/pim/models/target_spec.rb[1:2:3:3]                     | passed  | 0.00587 seconds |
./spec/pim/models/target_spec.rb[1:2:4:1]                     | passed  | 0.00423 seconds |
./spec/pim/models/target_spec.rb[1:2:4:2]                     | passed  | 0.00412 seconds |
./spec/pim/models/target_spec.rb[1:2:4:3]                     | passed  | 0.00424 seconds |
./spec/pim/models/target_spec.rb[1:2:4:4]                     | passed  | 0.0045 seconds  |
./spec/pim/models/target_spec.rb[1:2:4:5]                     | passed  | 0.00438 seconds |
./spec/pim/models/target_spec.rb[1:2:4:6]                     | passed  | 0.00413 seconds |
./spec/pim/models/target_spec.rb[1:2:4:7]                     | passed  | 0.00435 seconds |
./spec/pim/models/target_spec.rb[1:2:5:1]                     | passed  | 0.00505 seconds |
./spec/pim/models/target_spec.rb[1:2:5:2]                     | passed  | 0.00487 seconds |
./spec/pim/models/target_spec.rb[1:2:5:3]                     | passed  | 0.00424 seconds |
./spec/pim/namespace_spec.rb[1:1]                             | passed  | 0.00006 seconds |
